rotate_id,code,service_id,created_at,expired_at
02e38323-22a2-4580-9037-3949ca934868,VAC,SVC_001,2026-01-01 02:59:51.000,2026-01-01 03:29:51.000
950343a0-a5d9-4ca3-bdd6-fce8ef6a0961,LDQ,SVC_002,2026-01-01 04:19:06.000,2026-01-01 04:49:06.000
2ce9955f-a516-4a1e-b144-1b20476a1f34,WIK,SVC_002,2026-01-01 04:41:03.000,2026-01-01 05:11:03.000
a68695b7-d13e-4f10-b019-4f45eaae8a27,NHR,SVC_002,2026-01-01 04:43:26.000,2026-01-01 05:13:26.000
9a20c533-e80e-4b98-b0d1-e7956d2d4eba,QFJ,SVC_002,2026-01-01 04:49:24.000,2026-01-01 05:19:24.000
c50f868a-fc21-45b9-86a9-fbe8bba792b6,RYG,SVC_002,2026-01-01 05:25:26.000,2026-01-01 05:55:26.000
ef3f315a-1b18-499e-91a2-30f7c69f95be,YLG,SVC_002,2026-01-01 05:26:41.000,2026-01-01 05:56:41.000
20f39275-026a-4b62-9067-30a466d53512,MBX,SVC_001,2026-01-01 05:45:33.000,2026-01-01 06:15:33.000
080eb60d-c063-410b-a255-de79cded3e8b,TNF,SVC_002,2026-01-01 06:04:38.000,2026-01-01 06:34:38.000
c431719f-6aea-4550-834d-07eee172454e,WDH,SVC_002,2026-01-01 06:07:37.000,2026-01-01 06:37:37.000
ef8c8dd4-be44-4ee9-8008-253d639317cd,TMT,SVC_002,2026-01-01 06:45:58.000,2026-01-01 07:15:58.000
b0611e70-4171-44fc-9d4b-91cd881c25ad,PJQ,SVC_001,2026-01-01 06:52:54.000,2026-01-01 07:22:54.000
75991191-05b2-4639-8b8e-fb054cbfa32b,FWV,SVC_001,2026-01-01 07:21:49.000,2026-01-01 07:51:49.000
66a77a17-558f-4b56-931b-f98cef936ae8,HML,SVC_002,2026-01-01 07:39:42.000,2026-01-01 08:09:42.000
6ed170ca-5a41-4c85-920a-da98bfcf4517,AGM,SVC_002,2026-01-01 07:41:31.000,2026-01-01 08:11:31.000
c85871ff-1d22-436a-b3ae-5b708cedc98d,ZOQ,SVC_002,2026-01-01 09:27:48.000,2026-01-01 09:57:48.000
3a291615-f006-4b62-ad22-c0a28a50d74a,CSN,SVC_002,2026-01-01 09:52:28.000,2026-01-01 10:22:28.000
6f846334-15d5-4fe8-99db-a3858738f274,CWN,SVC_001,2026-01-01 12:19:51.000,2026-01-01 12:49:51.000
acf0490e-3254-4410-972e-363d66d23f32,TAO,SVC_002,2026-01-01 13:19:30.000,2026-01-01 13:49:30.000
a653fcca-d63e-42d8-944d-b62ee9f332c9,GHV,SVC_001,2026-01-01 13:23:27.000,2026-01-01 13:53:27.000
4ae544a3-9fd5-4954-b885-340654b8ddfc,YYW,SVC_002,2026-01-01 14:13:34.000,2026-01-01 14:43:34.000
41f53537-fb92-4251-b39f-70da281f83d2,UNE,SVC_001,2026-01-01 15:08:58.000,2026-01-01 15:38:58.000
a32085b7-32e0-4077-9141-45e247eb286f,ZAY,SVC_001,2026-01-01 15:56:19.000,2026-01-01 16:26:19.000
65948b53-17d9-4917-828e-80183a4ecc7e,TUK,SVC_001,2026-01-01 16:31:04.000,2026-01-01 17:01:04.000
8bf5331f-14ca-4e8d-bd19-dad0b3ca23b9,AFC,SVC_002,2026-01-01 16:33:49.000,2026-01-01 17:03:49.000
70418004-9a4c-464c-80e8-72f25eeb9f74,SLS,SVC_001,2026-01-01 17:12:00.000,2026-01-01 17:42:00.000
