id,country,operator,service_name,service_model,partner_id,status,created_at
393fc1c9-d322-4b8a-952e-5ad320900791,GB,operator_A,service_1,one-off,c2d30111-9106-41a8-91dc-949d95c68094,ACTIVE,2025-12-02 01:58:20.000
fdede5e3-9dba-4ca5-a36e-82895c4618f8,GB,operator_A,service_2,one-off,cc601f5d-bd66-47d4-8910-9428bbc8d4e5,ACTIVE,2025-10-11 19:25:12.000
6ecad2b7-b646-4008-9939-e26a0ffdc290,GB,operator_A,service_3,subscription,c2d30111-9106-41a8-91dc-949d95c68094,ACTIVE,2025-10-03 10:16:45.000
6b5edc02-f930-4de2-a691-c965ad171ac9,GB,operator_A,service_4,subscription,6314434a-d8e7-4019-97c8-4dbc7d72c084,ACTIVE,2025-12-11 23:56:16.000
33c7942d-55ce-48ca-9169-a374b1f497df,GB,operator_A,service_5,subscription,cc601f5d-bd66-47d4-8910-9428bbc8d4e5,ACTIVE,2025-10-27 16:51:53.000
749c9934-39ec-4687-9dbd-78378124d954,GB,operator_B,service_3,subscription,cc601f5d-bd66-47d4-8910-9428bbc8d4e5,ACTIVE,2025-10-24 18:38:21.000
80b7708a-f34b-4cd7-9b3d-0594a66337d5,GB,operator_B,service_4,subscription,c2d30111-9106-41a8-91dc-949d95c68094,ACTIVE,2025-10-22 16:07:07.000
8a176764-6f34-497d-ba92-8314ab2d7719,GB,operator_B,service_5,subscription,6314434a-d8e7-4019-97c8-4dbc7d72c084,ACTIVE,2025-10-14 13:08:48.000
83f9bde8-6044-446e-b665-aee0bb0e656e,GB,operator_C,service_1,one-off,6314434a-d8e7-4019-97c8-4dbc7d72c084,ACTIVE,2025-12-11 12:06:08.000
3f1ed2cc-0767-4665-8370-36e46f39a07e,GB,operator_C,service_2,one-off,c2d30111-9106-41a8-91dc-949d95c68094,ACTIVE,2025-10-10 22:49:51.000
