     45 Woody Allen
     44 ""
     34 Clint Eastwood
     29 Steven Spielberg
     29 Martin Scorsese
     23 Ridley Scott
     22 Steven Soderbergh
     22 Ron Howard
     21 Joel Schumacher
     20 Brian De Palma
     19 Wes Craven
     19 Tim Burton
     19 Barry Levinson
     18 Rob Reiner
     18 Mike Nichols
     18 John Carpenter
     18 David Cronenberg
     17 Walter Hill
     17 Tyler Perry
     17 Stephen Frears
     17 Spike Lee
     17 Sidney Lumet
     17 Robert Zemeckis
     17 Renny Harlin
     17 Peter Hyams
     17 Oliver Stone
     17 Norman Jewison
     17 Francis Ford Coppola
     16 Uwe Boll
     16 Tony Scott
     16 Stephen Herek
     16 Roman Polanski
     16 Richard Linklater
     16 Richard Donner
     16 John Landis
     16 Blake Edwards
     15 Robert Altman
     15 Neil Jordan
     15 Ivan Reitman
     15 Gus Van Sant
     15 David Lynch
     14 Sam Raimi
     14 Russell Mulcahy
     14 Roger Donaldson
     14 Robert Rodriguez
     14 Michael Apted
     14 John Badham
     14 Garry Marshall
     14 Chris Columbus
     13 William Friedkin
     13 Sydney Pollack
     13 Steve Miner
     13 Phillip Noyce
     13 Peter Jackson
     13 Lasse Hallstr̦m
     13 Dennis Dugan
     12 Wes Anderson
     12 Tobe Hooper
     12 Peter Weir
     12 Michael Winterbottom
     12 Michael Ritchie
     12 John Huston
     12 Joe Dante
     12 Gerald Thomas
     12 George A. Romero
     12 Alan Parker
     11 Terry Gilliam
     11 Stuart Gordon
     11 Stuart Gillard
     11 Shawn Levy
     11 Sean McNamara
     11 Sam Peckinpah
     11 Roland Emmerich
     11 Quentin Tarantino
     11 Mike Newell
     11 Michael Mann
     11 Michael Bay
     11 Mel Brooks
     11 Kevin Smith
     11 John Stockwell
     11 John G. Avildsen
     11 Jim Jarmusch
     11 Jay Roach
     11 Frank Oz
     11 David Gordon Green
     11 Danny Boyle
     10 Werner Herzog
     10 Steve Rash
     10 Roger Spottiswoode
     10 Roger Corman
     10 Robert Harmon
     10 Rob Cohen
     10 Paul W.S. Anderson
     10 Paul Schrader
     10 Paul Hoen
     10 Mike Leigh
     10 Michael Caton-Jones
     10 Lawrence Kasdan
     10 Kenneth Branagh
     10 Ken Loach
     10 Jon Turteltaub
     10 John Schlesinger
     10 John McTiernan
     10 John Boorman
     10 Joel Coen
     10 James Cameron
     10 Herbert Ross
     10 Harold Ramis
     10 Guy Hamilton
     10 Edward Zwick
     10 Donald Petrie
     10 Don Siegel
     10 David Fincher
     10 Curtis Hanson
